passengerID,survived,pclass,fare,embarked,class,deck,embark_town,alone
passenger64,0,1,27.7208,C,First,,Cherbourg,True
passenger65,1,3,15.2458,C,Third,,Cherbourg,False
passenger66,1,2,10.5,S,Second,F,Southampton,True
passenger67,0,3,8.1583,S,Third,,Southampton,True
passenger68,1,3,7.925,S,Third,,Southampton,False
passenger69,0,3,8.6625,S,Third,,Southampton,False
passenger70,0,2,10.5,S,Second,,Southampton,True
passenger71,0,3,46.9,S,Third,,Southampton,False
passenger72,0,2,73.5,S,Second,,Southampton,True
passenger73,0,3,14.4542,C,Third,,Cherbourg,False
passenger74,1,3,56.4958,S,Third,,Southampton,True
passenger75,0,3,7.65,S,Third,F,Southampton,True
passenger76,0,3,7.8958,S,Third,,Southampton,True
passenger77,0,3,8.05,S,Third,,Southampton,True
passenger78,1,2,29.0,S,Second,,Southampton,False
passenger79,1,3,12.475,S,Third,,Southampton,True
passenger80,0,3,9.0,S,Third,,Southampton,True
passenger81,1,3,9.5,S,Third,,Southampton,True
passenger82,1,3,7.7875,Q,Third,,Queenstown,True
passenger83,0,1,47.1,S,First,,Southampton,True
passenger84,1,2,10.5,S,Second,,Southampton,True
passenger85,1,3,15.85,S,Third,,Southampton,False
passenger86,0,3,34.375,S,Third,,Southampton,False
passenger87,0,3,8.05,S,Third,,Southampton,True
passenger88,1,1,263.0,S,First,C,Southampton,False
passenger89,0,3,8.05,S,Third,,Southampton,True
passenger90,0,3,8.05,S,Third,,Southampton,True
passenger91,0,3,7.8542,S,Third,,Southampton,True
passenger92,0,1,61.175,S,First,E,Southampton,False
passenger93,0,3,20.575,S,Third,,Southampton,False
passenger94,0,3,7.25,S,Third,,Southampton,True
passenger95,0,3,8.05,S,Third,,Southampton,True
passenger96,0,1,34.6542,C,First,A,Cherbourg,True
passenger97,1,1,63.3583,C,First,D,Cherbourg,False
passenger98,1,2,23.0,S,Second,,Southampton,False
passenger99,0,2,26.0,S,Second,,Southampton,False
passenger100,0,3,7.8958,S,Third,,Southampton,True
passenger101,0,3,7.8958,S,Third,,Southampton,True
passenger102,0,1,77.2875,S,First,D,Southampton,False
passenger103,0,3,8.6542,S,Third,,Southampton,True
passenger104,0,3,7.925,S,Third,,Southampton,False
passenger105,0,3,7.8958,S,Third,,Southampton,True
passenger106,1,3,7.65,S,Third,,Southampton,True
passenger107,1,3,7.775,S,Third,,Southampton,True
passenger108,0,3,7.8958,S,Third,,Southampton,True
passenger109,1,3,24.15,Q,Third,,Queenstown,False
passenger110,0,1,52.0,S,First,C,Southampton,True
passenger111,0,3,14.4542,C,Third,,Cherbourg,False
passenger112,0,3,8.05,S,Third,,Southampton,True
passenger113,0,3,9.825,S,Third,,Southampton,False
passenger114,0,3,14.4583,C,Third,,Cherbourg,True
passenger115,0,3,7.925,S,Third,,Southampton,True
passenger116,0,3,7.75,Q,Third,,Queenstown,True
passenger117,0,2,21.0,S,Second,,Southampton,False
passenger118,0,1,247.5208,C,First,B,Cherbourg,False
passenger119,0,3,31.275,S,Third,,Southampton,False
passenger120,0,2,73.5,S,Second,,Southampton,False
passenger121,0,3,8.05,S,Third,,Southampton,True
passenger122,0,2,30.0708,C,Second,,Cherbourg,False
passenger123,1,2,13.0,S,Second,E,Southampton,True
passenger124,0,1,77.2875,S,First,D,Southampton,False
passenger125,1,3,11.2417,C,Third,,Cherbourg,False
passenger126,0,3,7.75,Q,Third,,Queenstown,True
passenger127,1,3,7.1417,S,Third,,Southampton,True
passenger128,1,3,22.3583,C,Third,F,Cherbourg,False
passenger129,0,3,6.975,S,Third,,Southampton,True
passenger130,0,3,7.8958,C,Third,,Cherbourg,True
passenger131,0,3,7.05,S,Third,,Southampton,True
passenger132,0,3,14.5,S,Third,,Southampton,False
passenger133,1,2,26.0,S,Second,,Southampton,False
passenger134,0,2,13.0,S,Second,,Southampton,True
passenger135,0,2,15.0458,C,Second,,Cherbourg,True
passenger136,1,1,26.2833,S,First,D,Southampton,False
passenger137,0,1,53.1,S,First,C,Southampton,False
passenger138,0,3,9.2167,S,Third,,Southampton,True
passenger139,0,1,79.2,C,First,B,Cherbourg,True
passenger140,0,3,15.2458,C,Third,,Cherbourg,False
passenger141,1,3,7.75,S,Third,,Southampton,True
passenger142,1,3,15.85,S,Third,,Southampton,False
passenger143,0,3,6.75,Q,Third,,Queenstown,True
passenger144,0,2,11.5,S,Second,,Southampton,True
passenger145,0,2,36.75,S,Second,,Southampton,False
passenger146,1,3,7.7958,S,Third,,Southampton,True
passenger147,0,3,34.375,S,Third,,Southampton,False
passenger148,0,2,26.0,S,Second,F,Southampton,False
passenger149,0,2,13.0,S,Second,,Southampton,True
passenger150,0,2,12.525,S,Second,,Southampton,True
passenger151,1,1,66.6,S,First,C,Southampton,False
passenger152,0,3,8.05,S,Third,,Southampton,True
passenger153,0,3,14.5,S,Third,,Southampton,False
passenger154,0,3,7.3125,S,Third,,Southampton,True
passenger155,0,1,61.3792,C,First,,Cherbourg,False
passenger156,1,3,7.7333,Q,Third,,Queenstown,True
passenger157,0,3,8.05,S,Third,,Southampton,True
passenger158,0,3,8.6625,S,Third,,Southampton,True
passenger159,0,3,69.55,S,Third,,Southampton,False
passenger160,0,3,16.1,S,Third,,Southampton,False
passenger161,1,2,15.75,S,Second,,Southampton,True
passenger162,0,3,7.775,S,Third,,Southampton,True
passenger163,0,3,8.6625,S,Third,,Southampton,True
passenger164,0,3,39.6875,S,Third,,Southampton,False
passenger165,1,3,20.525,S,Third,,Southampton,False
passenger166,1,1,55.0,S,First,E,Southampton,False
passenger167,0,3,27.9,S,Third,,Southampton,False
passenger168,0,1,25.925,S,First,,Southampton,True
passenger169,0,3,56.4958,S,Third,,Southampton,True
passenger170,0,1,33.5,S,First,B,Southampton,True
passenger171,0,3,29.125,Q,Third,,Queenstown,False
passenger172,1,3,11.1333,S,Third,,Southampton,False
passenger173,0,3,7.925,S,Third,,Southampton,True
passenger174,0,1,30.6958,C,First,A,Cherbourg,True
passenger175,0,3,7.8542,S,Third,,Southampton,False
passenger176,0,3,25.4667,S,Third,,Southampton,False
passenger177,0,1,28.7125,C,First,C,Cherbourg,True
passenger178,0,2,13.0,S,Second,,Southampton,True
passenger179,0,3,0.0,S,Third,,Southampton,True
passenger180,0,3,69.55,S,Third,,Southampton,False
passenger181,0,2,15.05,C,Second,,Cherbourg,True
passenger182,0,3,31.3875,S,Third,,Southampton,False
passenger183,1,2,39.0,S,Second,F,Southampton,False
passenger184,1,3,22.025,S,Third,,Southampton,False
passenger185,0,1,50.0,S,First,A,Southampton,True
passenger186,1,3,15.5,Q,Third,,Queenstown,False
passenger187,1,1,26.55,S,First,,Southampton,True
passenger188,0,3,15.5,Q,Third,,Queenstown,False
passenger189,0,3,7.8958,S,Third,,Southampton,True
passenger190,1,2,13.0,S,Second,,Southampton,True
passenger191,0,2,13.0,S,Second,,Southampton,True
passenger192,1,3,7.8542,S,Third,,Southampton,False
passenger193,1,2,26.0,S,Second,F,Southampton,False
passenger194,1,1,27.7208,C,First,B,Cherbourg,True
passenger195,1,1,146.5208,C,First,B,Cherbourg,True
passenger196,0,3,7.75,Q,Third,,Queenstown,True
passenger197,0,3,8.4042,S,Third,,Southampton,False
passenger198,1,3,7.75,Q,Third,,Queenstown,True
passenger199,0,2,13.0,S,Second,,Southampton,True
passenger200,0,3,9.5,S,Third,,Southampton,True
passenger201,0,3,69.55,S,Third,,Southampton,False
passenger202,0,3,6.4958,S,Third,,Southampton,True
passenger203,0,3,7.225,C,Third,,Cherbourg,True
passenger204,1,3,8.05,S,Third,,Southampton,True
passenger205,0,3,10.4625,S,Third,G,Southampton,False
passenger206,0,3,15.85,S,Third,,Southampton,False
passenger207,1,3,18.7875,C,Third,,Cherbourg,True
passenger208,1,3,7.75,Q,Third,,Queenstown,True
passenger209,1,1,31.0,C,First,A,Cherbourg,True
passenger210,0,3,7.05,S,Third,,Southampton,True
passenger211,1,2,21.0,S,Second,,Southampton,True
passenger212,0,3,7.25,S,Third,,Southampton,True
passenger213,0,2,13.0,S,Second,,Southampton,True
passenger214,0,3,7.75,Q,Third,,Queenstown,False
passenger215,1,1,113.275,C,First,D,Cherbourg,False
passenger216,1,3,7.925,S,Third,,Southampton,True
passenger217,0,2,27.0,S,Second,,Southampton,False
passenger218,1,1,76.2917,C,First,D,Cherbourg,True
passenger219,0,2,10.5,S,Second,,Southampton,True
passenger220,1,3,8.05,S,Third,,Southampton,True
passenger221,0,2,13.0,S,Second,,Southampton,True
passenger222,0,3,8.05,S,Third,,Southampton,True
passenger223,0,3,7.8958,S,Third,,Southampton,True
passenger224,1,1,90.0,S,First,C,Southampton,False
passenger225,0,3,9.35,S,Third,,Southampton,True
passenger226,1,2,10.5,S,Second,,Southampton,True
passenger227,0,3,7.25,S,Third,,Southampton,True
passenger228,0,2,13.0,S,Second,,Southampton,True
passenger229,0,3,25.4667,S,Third,,Southampton,False
passenger230,1,1,83.475,S,First,C,Southampton,False
passenger231,0,3,7.775,S,Third,,Southampton,True
passenger232,0,2,13.5,S,Second,,Southampton,True
passenger233,1,3,31.3875,S,Third,,Southampton,False
passenger234,0,2,10.5,S,Second,,Southampton,True
passenger235,0,3,7.55,S,Third,,Southampton,True
passenger236,0,2,26.0,S,Second,,Southampton,False
passenger237,1,2,26.25,S,Second,,Southampton,False
passenger238,0,2,10.5,S,Second,,Southampton,True
passenger239,0,2,12.275,S,Second,,Southampton,True
passenger240,0,3,14.4542,C,Third,,Cherbourg,False
passenger241,1,3,15.5,Q,Third,,Queenstown,False
passenger242,0,2,10.5,S,Second,,Southampton,True
passenger243,0,3,7.125,S,Third,,Southampton,True
passenger244,0,3,7.225,C,Third,,Cherbourg,True
passenger245,0,1,90.0,Q,First,C,Queenstown,False
passenger246,0,3,7.775,S,Third,,Southampton,True
passenger247,1,2,14.5,S,Second,,Southampton,False
passenger248,1,1,52.5542,S,First,D,Southampton,False
passenger249,0,2,26.0,S,Second,,Southampton,False
passenger250,0,3,7.25,S,Third,,Southampton,True
passenger251,0,3,10.4625,S,Third,G,Southampton,False
passenger252,0,1,26.55,S,First,C,Southampton,True
passenger253,0,3,16.1,S,Third,,Southampton,False
passenger254,0,3,20.2125,S,Third,,Southampton,False
passenger255,1,3,15.2458,C,Third,,Cherbourg,False
passenger256,1,1,79.2,C,First,,Cherbourg,True
passenger257,1,1,86.5,S,First,B,Southampton,True
passenger258,1,1,512.3292,C,First,,Cherbourg,True
passenger259,1,2,26.0,S,Second,,Southampton,False
passenger260,0,3,7.75,Q,Third,,Queenstown,True
passenger261,1,3,31.3875,S,Third,,Southampton,False
passenger262,0,1,79.65,S,First,E,Southampton,False
passenger263,0,1,0.0,S,First,B,Southampton,True
passenger264,0,3,7.75,Q,Third,,Queenstown,True
passenger265,0,2,10.5,S,Second,,Southampton,True
passenger266,0,3,39.6875,S,Third,,Southampton,False
passenger267,1,3,7.775,S,Third,,Southampton,False
passenger268,1,1,153.4625,S,First,C,Southampton,False
passenger269,1,1,135.6333,S,First,C,Southampton,True
passenger270,0,1,31.0,S,First,,Southampton,True
passenger271,1,3,0.0,S,Third,,Southampton,True
passenger272,1,2,19.5,S,Second,,Southampton,False
passenger273,0,1,29.7,C,First,C,Cherbourg,False
passenger274,1,3,7.75,Q,Third,,Queenstown,True
passenger275,1,1,77.9583,S,First,D,Southampton,False
passenger276,0,3,7.75,S,Third,,Southampton,True
passenger277,0,2,0.0,S,Second,,Southampton,True
passenger278,0,3,29.125,Q,Third,,Queenstown,False
passenger279,1,3,20.25,S,Third,,Southampton,False
passenger280,0,3,7.75,Q,Third,,Queenstown,True
passenger281,0,3,7.8542,S,Third,,Southampton,True
passenger282,0,3,9.5,S,Third,,Southampton,True
passenger283,1,3,8.05,S,Third,,Southampton,True
passenger284,0,1,26.0,S,First,A,Southampton,True
passenger285,0,3,8.6625,C,Third,,Cherbourg,True
passenger286,1,3,9.5,S,Third,,Southampton,True
passenger287,0,3,7.8958,S,Third,,Southampton,True
passenger288,1,2,13.0,S,Second,,Southampton,True
passenger289,1,3,7.75,Q,Third,,Queenstown,True
passenger290,1,1,78.85,S,First,,Southampton,True
passenger291,1,1,91.0792,C,First,B,Cherbourg,False
passenger292,0,2,12.875,C,Second,D,Cherbourg,True
passenger293,0,3,8.85,S,Third,,Southampton,True
passenger294,0,3,7.8958,S,Third,,Southampton,True
passenger295,0,1,27.7208,C,First,,Cherbourg,True
passenger296,0,3,7.2292,C,Third,,Cherbourg,True
passenger297,0,1,151.55,S,First,C,Southampton,False
passenger298,1,1,30.5,S,First,C,Southampton,True
passenger299,1,1,247.5208,C,First,B,Cherbourg,False
passenger300,1,3,7.75,Q,Third,,Queenstown,True
passenger301,1,3,23.25,Q,Third,,Queenstown,False
passenger302,0,3,0.0,S,Third,,Southampton,True
passenger303,1,2,12.35,Q,Second,E,Queenstown,True
passenger304,0,3,8.05,S,Third,,Southampton,True
passenger305,1,1,151.55,S,First,C,Southampton,False
passenger306,1,1,110.8833,C,First,,Cherbourg,True
passenger307,1,1,108.9,C,First,C,Cherbourg,False
passenger308,0,2,24.0,C,Second,,Cherbourg,False
passenger309,1,1,56.9292,C,First,E,Cherbourg,True
passenger310,1,1,83.1583,C,First,C,Cherbourg,True
passenger311,1,1,262.375,C,First,B,Cherbourg,False
passenger312,0,2,26.0,S,Second,,Southampton,False
passenger313,0,3,7.8958,S,Third,,Southampton,True
passenger314,0,2,26.25,S,Second,,Southampton,False
passenger315,1,3,7.8542,S,Third,,Southampton,True
passenger316,1,2,26.0,S,Second,,Southampton,False
passenger317,0,2,14.0,S,Second,,Southampton,True
passenger318,1,1,164.8667,S,First,C,Southampton,False
passenger319,1,1,134.5,C,First,E,Cherbourg,False
passenger320,0,3,7.25,S,Third,,Southampton,True
passenger321,0,3,7.8958,S,Third,,Southampton,True
passenger322,1,2,12.35,Q,Second,,Queenstown,True
passenger323,1,2,29.0,S,Second,,Southampton,False
passenger324,0,3,69.55,S,Third,,Southampton,False
passenger325,1,1,135.6333,C,First,C,Cherbourg,True
passenger326,0,3,6.2375,S,Third,,Southampton,True
passenger327,1,2,13.0,S,Second,D,Southampton,True
passenger328,1,3,20.525,S,Third,,Southampton,False
passenger329,1,1,57.9792,C,First,B,Cherbourg,False
passenger330,1,3,23.25,Q,Third,,Queenstown,False
passenger331,0,1,28.5,S,First,C,Southampton,True
passenger332,0,1,153.4625,S,First,C,Southampton,False
passenger333,0,3,18.0,S,Third,,Southampton,False
passenger334,1,1,133.65,S,First,,Southampton,False
passenger335,0,3,7.8958,S,Third,,Southampton,True
passenger336,0,1,66.6,S,First,C,Southampton,False
passenger337,1,1,134.5,C,First,E,Cherbourg,True
passenger338,1,3,8.05,S,Third,,Southampton,True
passenger339,0,1,35.5,S,First,,Southampton,True
passenger340,1,2,26.0,S,Second,F,Southampton,False
passenger341,1,1,263.0,S,First,C,Southampton,False
passenger342,0,2,13.0,S,Second,,Southampton,True
passenger343,0,2,13.0,S,Second,,Southampton,True
passenger344,0,2,13.0,S,Second,,Southampton,True
passenger345,1,2,13.0,S,Second,F,Southampton,True
passenger346,1,2,13.0,S,Second,,Southampton,True
passenger347,1,3,16.1,S,Third,,Southampton,False
passenger348,1,3,15.9,S,Third,,Southampton,False
passenger349,0,3,8.6625,S,Third,,Southampton,True
passenger350,0,3,9.225,S,Third,,Southampton,True
passenger351,0,1,35.0,S,First,C,Southampton,True
passenger352,0,3,7.2292,C,Third,,Cherbourg,False
passenger353,0,3,17.8,S,Third,,Southampton,False
passenger354,0,3,7.225,C,Third,,Cherbourg,True
passenger355,0,3,9.5,S,Third,,Southampton,True
passenger356,1,1,55.0,S,First,E,Southampton,False
passenger357,0,2,13.0,S,Second,,Southampton,True
passenger358,1,3,7.8792,Q,Third,,Queenstown,True
passenger359,1,3,7.8792,Q,Third,,Queenstown,True
passenger360,0,3,27.9,S,Third,,Southampton,False
passenger361,0,2,27.7208,C,Second,,Cherbourg,False
passenger362,0,3,14.4542,C,Third,,Cherbourg,False
passenger363,0,3,7.05,S,Third,,Southampton,True
passenger364,0,3,15.5,Q,Third,,Queenstown,False
passenger365,0,3,7.25,S,Third,,Southampton,True
passenger366,1,1,75.25,C,First,D,Cherbourg,False
passenger367,1,3,7.2292,C,Third,,Cherbourg,True
passenger368,1,3,7.75,Q,Third,,Queenstown,True
passenger369,1,1,69.3,C,First,B,Cherbourg,True
passenger370,1,1,55.4417,C,First,E,Cherbourg,False
passenger371,0,3,6.4958,S,Third,,Southampton,False
passenger372,0,3,8.05,S,Third,,Southampton,True
passenger373,0,1,135.6333,C,First,,Cherbourg,True
passenger374,0,3,21.075,S,Third,,Southampton,False
passenger375,1,1,82.1708,C,First,,Cherbourg,False
passenger376,1,3,7.25,S,Third,,Southampton,True
passenger377,0,1,211.5,C,First,C,Cherbourg,False
passenger378,0,3,4.0125,C,Third,,Cherbourg,True
passenger379,0,3,7.775,S,Third,,Southampton,True
passenger380,1,1,227.525,C,First,,Cherbourg,True
passenger381,1,3,15.7417,C,Third,,Cherbourg,False
passenger382,0,3,7.925,S,Third,,Southampton,True
passenger383,1,1,52.0,S,First,,Southampton,False
passenger384,0,3,7.8958,S,Third,,Southampton,True
passenger385,0,2,73.5,S,Second,,Southampton,True
passenger386,0,3,46.9,S,Third,,Southampton,False
passenger387,1,2,13.0,S,Second,,Southampton,True
passenger388,0,3,7.7292,Q,Third,,Queenstown,True
passenger389,1,2,12.0,C,Second,,Cherbourg,True
passenger390,1,1,120.0,S,First,B,Southampton,False
passenger391,1,3,7.7958,S,Third,,Southampton,True
passenger392,0,3,7.925,S,Third,,Southampton,False
passenger393,1,1,113.275,C,First,D,Cherbourg,False
passenger394,1,3,16.7,S,Third,G,Southampton,False
passenger395,0,3,7.7958,S,Third,,Southampton,True
passenger396,0,3,7.8542,S,Third,,Southampton,True
passenger397,0,2,26.0,S,Second,,Southampton,True
passenger398,0,2,10.5,S,Second,,Southampton,True
passenger399,1,2,12.65,S,Second,,Southampton,True
passenger400,1,3,7.925,S,Third,,Southampton,True
passenger401,0,3,8.05,S,Third,,Southampton,True
passenger402,0,3,9.825,S,Third,,Southampton,False
passenger403,0,3,15.85,S,Third,,Southampton,False
passenger404,0,3,8.6625,S,Third,,Southampton,True
passenger405,0,2,21.0,S,Second,,Southampton,False
passenger406,0,3,7.75,S,Third,,Southampton,True
passenger407,1,2,18.75,S,Second,,Southampton,False
passenger408,0,3,7.775,S,Third,,Southampton,True
passenger409,0,3,25.4667,S,Third,,Southampton,False
passenger410,0,3,7.8958,S,Third,,Southampton,True
passenger411,0,3,6.8583,Q,Third,,Queenstown,True
passenger412,1,1,90.0,Q,First,C,Queenstown,False
passenger413,0,2,0.0,S,Second,,Southampton,True
passenger414,1,3,7.925,S,Third,,Southampton,True
passenger415,0,3,8.05,S,Third,,Southampton,True
passenger416,1,2,32.5,S,Second,,Southampton,False
passenger417,1,2,13.0,S,Second,,Southampton,False
passenger418,0,2,13.0,S,Second,,Southampton,True
passenger419,0,3,24.15,S,Third,,Southampton,False
passenger420,0,3,7.8958,C,Third,,Cherbourg,True
passenger421,0,3,7.7333,Q,Third,,Queenstown,True
passenger422,0,3,7.875,S,Third,,Southampton,True
passenger423,0,3,14.4,S,Third,,Southampton,False
passenger424,0,3,20.2125,S,Third,,Southampton,False
passenger425,0,3,7.25,S,Third,,Southampton,True
passenger426,1,2,26.0,S,Second,,Southampton,False
passenger427,1,2,26.0,S,Second,,Southampton,True
passenger428,0,3,7.75,Q,Third,,Queenstown,True
passenger429,1,3,8.05,S,Third,E,Southampton,True
passenger430,1,1,26.55,S,First,C,Southampton,True
passenger431,1,3,16.1,S,Third,,Southampton,False
passenger432,1,2,26.0,S,Second,,Southampton,False
passenger433,0,3,7.125,S,Third,,Southampton,True
passenger434,0,1,55.9,S,First,E,Southampton,False
passenger435,1,1,120.0,S,First,B,Southampton,False
passenger436,0,3,34.375,S,Third,,Southampton,False
passenger437,1,2,18.75,S,Second,,Southampton,False
passenger438,0,1,263.0,S,First,C,Southampton,False
passenger439,0,2,10.5,S,Second,,Southampton,True
passenger440,1,2,26.25,S,Second,,Southampton,False
passenger441,0,3,9.5,S,Third,,Southampton,True
passenger442,0,3,7.775,S,Third,,Southampton,False
passenger443,1,2,13.0,S,Second,,Southampton,True
passenger444,1,3,8.1125,S,Third,,Southampton,True
passenger445,1,1,81.8583,S,First,A,Southampton,False
passenger446,1,2,19.5,S,Second,,Southampton,False
passenger447,1,1,26.55,S,First,,Southampton,True
passenger448,1,3,19.2583,C,Third,,Cherbourg,False
passenger449,1,1,30.5,S,First,C,Southampton,True
passenger450,0,2,27.75,S,Second,,Southampton,False
passenger451,0,3,19.9667,S,Third,,Southampton,False
passenger452,0,1,27.75,C,First,C,Cherbourg,True
passenger453,1,1,89.1042,C,First,C,Cherbourg,False
passenger454,0,3,8.05,S,Third,,Southampton,True
passenger455,1,3,7.8958,C,Third,,Cherbourg,True
passenger456,0,1,26.55,S,First,E,Southampton,True
passenger457,1,1,51.8625,S,First,D,Southampton,False
passenger458,1,2,10.5,S,Second,,Southampton,True
passenger459,0,3,7.75,Q,Third,,Queenstown,True
passenger460,1,1,26.55,S,First,E,Southampton,True
passenger461,0,3,8.05,S,Third,,Southampton,True
passenger462,0,1,38.5,S,First,E,Southampton,True
passenger463,0,2,13.0,S,Second,,Southampton,True
passenger464,0,3,8.05,S,Third,,Southampton,True
passenger465,0,3,7.05,S,Third,,Southampton,True
passenger466,0,2,0.0,S,Second,,Southampton,True
passenger467,0,1,26.55,S,First,,Southampton,True
passenger468,0,3,7.725,Q,Third,,Queenstown,True
passenger469,1,3,19.2583,C,Third,,Cherbourg,False
passenger470,0,3,7.25,S,Third,,Southampton,True
passenger471,0,3,8.6625,S,Third,,Southampton,True
passenger472,1,2,27.75,S,Second,,Southampton,False
passenger473,1,2,13.7917,C,Second,D,Cherbourg,True
passenger474,0,3,9.8375,S,Third,,Southampton,True
passenger475,0,1,52.0,S,First,A,Southampton,True
passenger476,0,2,21.0,S,Second,,Southampton,False
passenger477,0,3,7.0458,S,Third,,Southampton,False
passenger478,0,3,7.5208,S,Third,,Southampton,True
passenger479,1,3,12.2875,S,Third,,Southampton,False
passenger480,0,3,46.9,S,Third,,Southampton,False
passenger481,0,2,0.0,S,Second,,Southampton,True
passenger482,0,3,8.05,S,Third,,Southampton,True
passenger483,1,3,9.5875,S,Third,,Southampton,True
passenger484,1,1,91.0792,C,First,B,Cherbourg,False
passenger485,0,3,25.4667,S,Third,,Southampton,False
passenger486,1,1,90.0,S,First,C,Southampton,False
passenger487,0,1,29.7,C,First,B,Cherbourg,True
passenger488,0,3,8.05,S,Third,,Southampton,True
passenger489,1,3,15.9,S,Third,,Southampton,False
passenger490,0,3,19.9667,S,Third,,Southampton,False
passenger491,0,3,7.25,S,Third,,Southampton,True
passenger492,0,1,30.5,S,First,C,Southampton,True
passenger493,0,1,49.5042,C,First,,Cherbourg,True
passenger494,0,3,8.05,S,Third,,Southampton,True
passenger495,0,3,14.4583,C,Third,,Cherbourg,True
passenger496,1,1,78.2667,C,First,D,Cherbourg,False
passenger497,0,3,15.1,S,Third,,Southampton,True
passenger498,0,1,151.55,S,First,C,Southampton,False
passenger499,0,3,7.7958,S,Third,,Southampton,True
passenger500,0,3,8.6625,S,Third,,Southampton,True
passenger501,0,3,7.75,Q,Third,,Queenstown,True
passenger502,0,3,7.6292,Q,Third,,Queenstown,True
passenger503,0,3,9.5875,S,Third,,Southampton,True
passenger504,1,1,86.5,S,First,B,Southampton,True
passenger505,0,1,108.9,C,First,C,Cherbourg,False
passenger506,1,2,26.0,S,Second,,Southampton,False
passenger507,1,1,26.55,S,First,,Southampton,True
passenger508,0,3,22.525,S,Third,,Southampton,True
passenger509,1,3,56.4958,S,Third,,Southampton,True
passenger510,1,3,7.75,Q,Third,,Queenstown,True
passenger511,0,3,8.05,S,Third,,Southampton,True
passenger512,1,1,26.2875,S,First,E,Southampton,True
passenger513,1,1,59.4,C,First,,Cherbourg,False
passenger514,0,3,7.4958,S,Third,,Southampton,True
passenger515,0,1,34.0208,S,First,D,Southampton,True
passenger516,1,2,10.5,S,Second,F,Southampton,True
passenger517,0,3,24.15,Q,Third,,Queenstown,True
passenger518,1,2,26.0,S,Second,,Southampton,False
