passengerID	sex	age	alive
passenger222	male	51.0	no
passenger882	female	22.0	no
passenger351	male		no
passenger290	female	26.0	yes
passenger132	female	47.0	no
passenger805	male	31.0	no
passenger452	male	30.0	no
passenger654	female	18.0	no
passenger145	male	19.0	no
passenger671	male	31.0	no
passenger275	female	63.0	yes
passenger400	male	39.0	yes
passenger651	female	18.0	yes
passenger259	female	50.0	yes
passenger310	female	24.0	yes
passenger36	male		yes
passenger529	male	23.0	no
passenger199	female	24.0	no
passenger375	female		yes
passenger276	female	45.0	no
passenger721	male	17.0	no
passenger447	male	34.0	yes
passenger682	male	20.0	no
passenger727	female		yes
passenger819	male	10.0	no
passenger530	female	2.0	yes
passenger627	female	21.0	yes
passenger752	male	33.0	no
passenger248	male	37.0	yes
passenger30	male	40.0	no
passenger454	male		no
passenger694	male	60.0	no
passenger605	male	36.0	no
passenger329	female	16.0	yes
passenger829	female	62.0	yes
passenger731	male	11.0	no
passenger332	male	38.0	no
passenger85	female	33.0	yes
passenger600	female	24.0	yes
passenger755	male	0.67	yes
passenger185	male		no
passenger424	male	18.0	no
passenger838	male	32.0	yes
passenger612	female		yes
passenger311	female	18.0	yes
passenger374	female	3.0	no
passenger457	female		yes
passenger543	male	32.0	yes
passenger685	male	25.0	no
passenger815	male		no
passenger489	male	9.0	yes
passenger550	male	17.0	yes
passenger349	male	42.0	no
passenger728	male	25.0	no
passenger876	male	20.0	no
passenger216	female	27.0	yes
passenger6	male	54.0	no
passenger799	female	30.0	no
passenger513	female	54.0	yes
passenger28	female		yes
passenger281	male	28.0	no
passenger462	male	47.0	no
passenger784	male	25.0	no
passenger736	female	48.0	no
passenger477	male	29.0	no
passenger628	male	26.0	no
passenger633	male		no
passenger231	male	29.0	no
passenger100	female	28.0	no
passenger91	male	20.0	no
passenger84	female	17.0	yes
passenger251	female	29.0	no
passenger77	male		no
passenger352	male	15.0	no
passenger34	male	28.0	no
passenger108	male	38.0	no
passenger498	female	25.0	no
passenger852	female	9.0	no
passenger414	male	44.0	yes
passenger422	male	29.0	no
passenger338	male	45.0	yes
passenger566	male	19.0	no
passenger444	male		yes
passenger583	male	36.0	no
passenger875	female	15.0	yes
passenger249	male	54.0	no
passenger9	female	14.0	yes
passenger103	male	33.0	no
passenger708	female	22.0	yes
passenger240	female		no
passenger884	male	25.0	no
passenger458	female	50.0	yes
passenger855	female	18.0	yes
passenger273	male	37.0	no
passenger779	female	43.0	yes
passenger62	male	45.0	no
passenger45	male		no
passenger873	male	47.0	no
passenger816	female	23.0	no
passenger822	male	38.0	no
passenger94	male	59.0	no
passenger674	male		no
passenger631	male	51.0	no
passenger79	female	30.0	yes
passenger71	female	16.0	no
passenger295	male		no
passenger139	male	24.0	no
passenger615	female	24.0	yes
passenger347	female		yes
passenger106	female	21.0	yes
passenger390	male	36.0	yes
passenger717	female	27.0	yes
passenger109	female		yes
passenger576	female	34.0	yes
passenger773	male		no
passenger632	male	32.0	yes
passenger796	female	49.0	yes
passenger181	male		no
passenger561	male	40.0	no
passenger80	male	22.0	no
passenger182	male	9.0	no
passenger124	male	54.0	no
passenger680	female		no
passenger373	male	22.0	no
passenger803	male	0.42	yes
passenger156	female	16.0	yes
passenger51	male	21.0	no
passenger565	male	24.0	no
passenger598	male		no
passenger732	male		no
passenger692	male		yes
passenger253	male	30.0	no
passenger864	male	24.0	no
passenger604	male	35.0	yes
passenger144	male	18.0	no
passenger364	male		no
passenger331	male	45.5	no
passenger719	male	33.0	no
passenger126	male		no
passenger217	male	42.0	no
passenger265	male	36.0	no
passenger568	male		no
passenger70	male	32.0	no
passenger783	male		no
passenger397	male	46.0	no
passenger314	male	43.0	no
passenger665	male	32.0	no
passenger528	male	39.0	no
passenger3	female	35.0	yes
passenger785	male	25.0	no
passenger226	male	19.0	yes
passenger7	male	2.0	no
passenger88	female	23.0	yes
passenger495	male		no
passenger392	male	28.0	no
passenger284	male		no
passenger212	male	22.0	no
passenger289	female	22.0	yes
passenger333	male	16.0	no
passenger136	female	19.0	yes
passenger438	male	64.0	no
passenger647	male	56.0	yes
passenger429	male	32.0	yes
passenger396	female	31.0	no
passenger449	male	52.0	yes
passenger836	male	21.0	no
passenger274	female		yes
passenger279	female	35.0	yes
passenger460	male	48.0	yes
passenger367	female		yes
passenger697	female		yes
passenger82	female		yes
passenger759	female	33.0	yes
passenger724	male	27.0	yes
passenger218	female	32.0	yes
passenger415	female		no
passenger443	female	28.0	yes
passenger235	female		no
passenger14	female	14.0	no
passenger74	male	32.0	yes
passenger255	female	29.0	yes
passenger551	male	27.0	no
passenger263	male	40.0	no
passenger691	female	4.0	yes
passenger322	female	30.0	yes
passenger294	male	24.0	no
passenger129	male	45.0	no
passenger701	male	35.0	yes
passenger353	male	25.0	no
passenger420	male		no
passenger505	male	18.0	no
passenger880	female	25.0	yes
passenger661	male	40.0	no
passenger146	male	27.0	yes
passenger710	female	24.0	yes
passenger812	male	35.0	no
passenger751	male	6.0	yes
passenger620	male	27.0	no
passenger794	male	25.0	no
passenger560	male		no
passenger135	male	23.0	no
passenger406	male	51.0	no
passenger113	female	20.0	no
passenger660	male	50.0	yes
passenger141	female	22.0	yes
passenger563	male		no
passenger86	male	16.0	no
passenger268	female	58.0	yes
passenger437	female	24.0	yes
passenger709	male		yes
passenger522	male		no
passenger346	female	40.0	yes
passenger676	male	24.5	no
passenger866	female	27.0	yes
passenger208	female	16.0	yes
passenger260	male		no
passenger335	male		no
passenger189	male	36.0	no
passenger230	female	35.0	yes
passenger802	male	11.0	yes
passenger461	male	34.0	no
passenger791	male	16.0	no
passenger282	male	16.0	no
passenger510	male	29.0	yes
passenger174	male	56.0	no
passenger734	male	23.0	no
passenger853	female	16.0	yes
passenger858	female	24.0	yes
passenger592	male	47.0	no
passenger317	male	54.0	no
passenger66	female	29.0	yes
passenger703	male	25.0	no
passenger789	male	46.0	no
passenger223	male		no
passenger673	male	31.0	yes
passenger372	male	19.0	no
passenger266	male	16.0	no
passenger151	female	22.0	yes
passenger339	male	45.0	no
passenger659	male	58.0	no
passenger883	male	28.0	no
passenger532	male	17.0	no
passenger847	male	35.0	no
passenger163	male	17.0	no
passenger862	female	48.0	yes
passenger191	male	19.0	no
passenger810	male	26.0	no
passenger814	male	30.5	no
passenger433	male	17.0	no
passenger488	male	30.0	no
passenger848	male	28.0	no
passenger67	male	19.0	no
passenger89	male	24.0	no
passenger165	male	9.0	yes
passenger630	male	80.0	yes
passenger148	male	36.5	no
passenger761	male	41.0	no
passenger315	female	26.0	yes
passenger48	male		no
passenger780	female	13.0	yes
passenger285	male	33.0	no
passenger643	male		yes
passenger232	male	59.0	no
passenger833	male	23.0	no
passenger254	female	41.0	no
passenger431	female		yes
passenger330	female		yes
passenger172	female	1.0	yes
passenger769	male	32.0	no
passenger580	female	25.0	yes
passenger639	male		no
passenger494	male	21.0	no
passenger32	female		yes
passenger587	male	60.0	yes
passenger119	female	2.0	no
passenger72	male	21.0	no
passenger835	female	39.0	yes
passenger740	male		yes
passenger114	female	17.0	no
passenger122	male	32.5	no
passenger464	male		no
passenger298	male		yes
passenger722	male	34.0	no
passenger308	male	30.0	no
passenger874	female	28.0	yes
passenger73	male	26.0	no
passenger261	male	3.0	yes
passenger421	male	21.0	no
passenger10	female	4.0	yes
passenger272	female	41.0	yes
passenger169	male	28.0	no
passenger107	male		yes
passenger845	male	42.0	no
passenger764	male	16.0	no
passenger778	male		no
passenger65	male		yes
passenger409	female		no
passenger395	male	22.0	no
passenger345	female	24.0	yes
passenger547	male		yes
passenger87	male		no
passenger17	male		yes
passenger371	male	18.0	no
passenger606	male	30.0	no
passenger781	female	17.0	yes
passenger162	male	26.0	no
passenger43	female	3.0	yes
passenger96	male	71.0	no
passenger76	male		no
passenger492	male	55.0	no
passenger753	male	23.0	no
passenger269	female	35.0	yes
passenger807	female	18.0	no
passenger161	female	40.0	yes
passenger171	male	4.0	no
passenger25	female	38.0	yes
passenger669	female		yes
passenger176	male		no
passenger534	female	30.0	no
passenger733	male	23.0	no
passenger287	male	22.0	no
passenger378	male	20.0	no
passenger624	male	21.0	no
passenger121	male		no
passenger636	male	32.0	no
passenger677	female	18.0	yes
passenger797	female	31.0	yes
passenger155	male	51.0	no
passenger50	male	7.0	no
passenger40	female	40.0	no
passenger110	male	47.0	no
passenger370	male	25.0	yes
passenger593	female		no
passenger306	female		yes
passenger811	male	39.0	no
passenger476	male	34.0	no
passenger828	male		yes
passenger695	male	52.0	no
passenger453	male	49.0	yes
passenger149	male	42.0	no
passenger179	male	36.0	no
passenger696	male	44.0	no
passenger194	female	44.0	yes
passenger37	male	21.0	no
passenger78	male	0.83	yes
passenger798	male	30.0	no
passenger441	male	20.0	no
passenger277	male		no
passenger425	male		no
passenger220	male	16.0	yes
passenger404	female	20.0	no
passenger118	male	24.0	no
passenger664	male	20.0	yes
passenger653	female		yes
passenger382	male	32.0	no
passenger871	female	47.0	yes
passenger711	male		no
passenger312	female	26.0	no
passenger712	male	48.0	yes
passenger843	male	34.5	no
passenger801	female	31.0	yes
passenger754	female	48.0	yes
passenger448	female	5.0	yes
passenger22	female	15.0	yes
passenger465	male	38.0	no
passenger504	female	16.0	yes
passenger757	male	18.0	no
passenger446	female	13.0	yes
passenger183	male	1.0	yes
passenger749	male	31.0	no
passenger768	male		no
passenger142	female	24.0	yes
passenger468	male		no
passenger221	male	27.0	no
passenger831	male	0.83	yes
passenger348	male	3.0	yes
passenger432	female	42.0	yes
passenger63	male	4.0	no
passenger81	male	29.0	yes
passenger173	male	21.0	no
passenger419	female	10.0	no
passenger491	male	21.0	no
passenger143	male	19.0	no
passenger385	male	18.0	no
passenger782	male	29.0	no
passenger723	male	50.0	no
passenger213	male	30.0	no
passenger537	female	30.0	yes
passenger557	male		no
passenger609	female	40.0	yes
passenger704	male	26.0	no
passenger868	male		no
passenger411	male		no
passenger681	male	27.0	yes
passenger518	female	36.0	yes
passenger813	female	6.0	no
passenger496	female	54.0	yes
passenger589	male		no
passenger467	male	56.0	no
passenger245	male	44.0	no
passenger742	female	21.0	yes
passenger889	male	26.0	yes
passenger376	female	22.0	yes
passenger792	female		no
passenger765	female	51.0	yes
passenger834	male	18.0	no
passenger193	male	3.0	yes
passenger573	female		yes
passenger832	male		no
passenger140	female		no
passenger35	male	42.0	no
passenger450	male	36.0	no
passenger793	male		no
passenger844	male	17.0	no
passenger434	male	50.0	no
passenger283	male	19.0	yes
passenger479	female	2.0	yes
passenger553	male	22.0	yes
passenger258	female	35.0	yes
passenger57	male	28.5	no
passenger128	female		yes
passenger827	male	1.0	yes
passenger130	male	33.0	no
passenger92	male	46.0	no
passenger787	male	8.0	no
passenger713	male	29.0	no
passenger493	male	71.0	no
passenger739	male		no
passenger241	female		yes
passenger670	female	40.0	yes
passenger760	male		no
passenger508	male	28.0	no
passenger470	male		no
passenger198	female		yes
passenger698	male	49.0	no
passenger519	male	32.0	no
passenger756	male	28.0	no
passenger206	male	32.0	no
passenger243	male	22.0	no
passenger825	male		no
passenger857	male	51.0	yes
passenger327	female	36.0	yes
passenger262	male	52.0	no
passenger541	female	9.0	no
passenger603	male	44.0	no
passenger618	female	4.0	yes
passenger160	male	44.0	no
passenger485	female		no
passenger27	male	19.0	no
passenger307	female	17.0	yes
passenger678	female	43.0	no
passenger302	male	19.0	no
passenger743	male	24.0	no
passenger662	male	47.0	no
passenger863	female		no
passenger164	male	1.0	no
passenger104	male	37.0	no
passenger324	male		no
passenger413	male		no
passenger466	male		no
passenger252	male	62.0	no
passenger619	male	26.0	no
passenger60	male	22.0	no
passenger776	male		no
passenger12	male	20.0	no
passenger635	female	28.0	yes
passenger684	male	60.0	no
passenger356	female	22.0	yes
passenger865	female	42.0	yes
passenger239	male	33.0	no
passenger469	female	0.75	yes
passenger357	female	38.0	no
passenger188	male	40.0	no
passenger521	male	22.0	no
passenger8	female	27.0	yes
passenger737	male	35.0	yes
passenger23	male	28.0	yes
passenger291	female	19.0	yes
passenger336	male	29.0	no
passenger16	male	2.0	no
passenger869	male	4.0	yes
passenger170	male	61.0	no
passenger120	male	21.0	no
passenger679	male	36.0	yes
passenger683	male	14.0	no
passenger700	female	18.0	yes
passenger297	female	2.0	no
passenger209	male	40.0	yes
passenger842	female	30.0	yes
passenger652	male	21.0	no
passenger854	female	44.0	no
passenger38	female	18.0	no
passenger115	male	21.0	no
passenger33	male	66.0	no
passenger581	female	39.0	yes
passenger439	male	31.0	no
passenger596	female		yes
passenger391	male	21.0	yes
passenger720	female	6.0	yes
passenger480	male	9.0	no
passenger134	male	25.0	no
passenger278	male	7.0	no
passenger202	male	34.0	no
passenger770	male	24.0	no
passenger514	male	24.0	no
passenger168	male		no
passenger735	male	28.5	no
passenger594	male	37.0	no
passenger533	female		yes
passenger482	male	50.0	no
passenger806	male	39.0	no
passenger463	male	48.0	no
passenger59	male	11.0	no
passenger0	male	22.0	no
passenger137	male	37.0	no
passenger387	female	36.0	yes
passenger849	female		yes
passenger818	male	43.0	no
passenger41	female	27.0	no
passenger68	female	17.0	yes
passenger207	male	26.0	yes
