passenderID,survived,pclass,fare,embarked,class,deck,embark_town,alone
passenger303,1,2,12.35,Q,Second,E,Queenstown,True
passenger313,0,3,7.8958,S,Third,,Southampton,True
passenger109,1,3,24.15,Q,Third,,Queenstown,False
passenger336,0,1,66.6,S,First,C,Southampton,False
passenger384,0,3,7.8958,S,Third,,Southampton,True
passenger114,0,3,14.4583,C,Third,,Cherbourg,True
passenger452,0,1,27.75,C,First,C,Cherbourg,True
passenger791,0,2,26.0,S,Second,,Southampton,True
passenger401,0,3,8.05,S,Third,,Southampton,True
passenger742,1,1,262.375,C,First,B,Cherbourg,False
passenger792,0,3,69.55,S,Third,,Southampton,False
passenger837,0,3,8.05,S,Third,,Southampton,True
passenger702,0,3,14.4542,C,Third,,Cherbourg,False
passenger887,1,1,30.0,S,First,B,Southampton,True
passenger501,0,3,7.75,Q,Third,,Queenstown,True
passenger96,0,1,34.6542,C,First,A,Cherbourg,True
passenger326,0,3,6.2375,S,Third,,Southampton,True
passenger159,0,3,69.55,S,Third,,Southampton,False
passenger184,1,3,22.025,S,Third,,Southampton,False
passenger356,1,1,55.0,S,First,E,Southampton,False
passenger836,0,3,8.6625,S,Third,,Southampton,True
passenger666,0,2,13.0,S,Second,,Southampton,True
passenger566,0,3,7.8958,S,Third,,Southampton,True
passenger820,1,1,93.5,S,First,B,Southampton,False
passenger371,0,3,6.4958,S,Third,,Southampton,False
passenger254,0,3,20.2125,S,Third,,Southampton,False
passenger472,1,2,27.75,S,Second,,Southampton,False
passenger4,0,3,8.05,S,Third,,Southampton,True
passenger264,0,3,7.75,Q,Third,,Queenstown,True
passenger467,0,1,26.55,S,First,,Southampton,True
passenger582,0,2,26.0,S,Second,,Southampton,True
passenger122,0,2,30.0708,C,Second,,Cherbourg,False
passenger320,0,3,7.25,S,Third,,Southampton,True
passenger429,1,3,8.05,S,Third,E,Southampton,True
passenger576,1,2,13.0,S,Second,,Southampton,True
passenger583,0,1,40.125,C,First,A,Cherbourg,True
passenger519,0,3,7.8958,S,Third,,Southampton,True
passenger683,0,3,46.9,S,Third,,Southampton,False
passenger95,0,3,8.05,S,Third,,Southampton,True
passenger331,0,1,28.5,S,First,C,Southampton,True
passenger687,0,3,10.1708,S,Third,,Southampton,True
passenger52,1,1,76.7292,C,First,D,Cherbourg,False
passenger689,1,1,211.3375,S,First,B,Southampton,False
passenger94,0,3,7.25,S,Third,,Southampton,True
passenger522,0,3,7.225,C,Third,,Cherbourg,True
passenger563,0,3,8.05,S,Third,,Southampton,True
passenger9,1,2,30.0708,C,Second,,Cherbourg,False
passenger146,1,3,7.7958,S,Third,,Southampton,True
passenger152,0,3,8.05,S,Third,,Southampton,True
passenger569,1,3,7.8542,S,Third,,Southampton,True
passenger422,0,3,7.875,S,Third,,Southampton,True
passenger325,1,1,135.6333,C,First,C,Cherbourg,True
passenger212,0,3,7.25,S,Third,,Southampton,True
passenger768,0,3,24.15,Q,Third,,Queenstown,False
passenger532,0,3,7.2292,C,Third,,Cherbourg,False
passenger307,1,1,108.9,C,First,C,Cherbourg,False
passenger88,1,1,263.0,S,First,C,Southampton,False
passenger25,1,3,31.3875,S,Third,,Southampton,False
passenger233,1,3,31.3875,S,Third,,Southampton,False
passenger238,0,2,10.5,S,Second,,Southampton,True
passenger763,1,1,120.0,S,First,B,Southampton,False
passenger527,0,1,221.7792,S,First,C,Southampton,True
passenger315,1,3,7.8542,S,Third,,Southampton,True
passenger543,1,2,26.0,S,Second,,Southampton,False
passenger5,0,3,8.4583,Q,Third,,Queenstown,True
passenger328,1,3,20.525,S,Third,,Southampton,False
passenger726,1,2,21.0,S,Second,,Southampton,False
passenger546,1,2,26.0,S,Second,,Southampton,False
passenger135,0,2,15.0458,C,Second,,Cherbourg,True
passenger732,0,2,0.0,S,Second,,Southampton,True
passenger750,1,2,23.0,S,Second,,Southampton,False
passenger855,1,3,9.35,S,Third,,Southampton,False
passenger728,0,2,26.0,S,Second,,Southampton,False
passenger31,1,1,146.5208,C,First,B,Cherbourg,False
passenger162,0,3,7.775,S,Third,,Southampton,True
passenger302,0,3,0.0,S,Third,,Southampton,True
passenger710,1,1,49.5042,C,First,C,Cherbourg,True
passenger881,0,3,7.8958,S,Third,,Southampton,True
passenger525,0,3,7.75,Q,Third,,Queenstown,True
passenger514,0,3,7.4958,S,Third,,Southampton,True
passenger738,0,3,7.8958,S,Third,,Southampton,True
passenger488,0,3,8.05,S,Third,,Southampton,True
passenger156,1,3,7.7333,Q,Third,,Queenstown,True
passenger396,0,3,7.8542,S,Third,,Southampton,True
passenger45,0,3,8.05,S,Third,,Southampton,True
passenger601,0,3,7.8958,S,Third,,Southampton,True
passenger382,0,3,7.925,S,Third,,Southampton,True
passenger61,1,1,80.0,,First,B,,True
passenger700,1,1,227.525,C,First,C,Cherbourg,False
passenger615,1,2,65.0,S,Second,,Southampton,False
passenger678,0,3,46.9,S,Third,,Southampton,False
passenger249,0,2,26.0,S,Second,,Southampton,False
passenger62,0,1,83.475,S,First,C,Southampton,False
passenger54,0,1,61.9792,C,First,B,Cherbourg,False
passenger857,1,1,26.55,S,First,E,Southampton,True
passenger130,0,3,7.8958,C,Third,,Cherbourg,True
passenger257,1,1,86.5,S,First,B,Southampton,True
passenger375,1,1,82.1708,C,First,,Cherbourg,False
passenger81,1,3,9.5,S,Third,,Southampton,True
passenger645,1,1,76.7292,C,First,D,Cherbourg,False
passenger886,0,2,13.0,S,Second,,Southampton,True
passenger86,0,3,34.375,S,Third,,Southampton,False
passenger324,0,3,69.55,S,Third,,Southampton,False
passenger448,1,3,19.2583,C,Third,,Cherbourg,False
passenger378,0,3,4.0125,C,Third,,Cherbourg,True
passenger142,1,3,15.85,S,Third,,Southampton,False
passenger724,1,1,53.1,S,First,E,Southampton,False
passenger296,0,3,7.2292,C,Third,,Cherbourg,True
passenger255,1,3,15.2458,C,Third,,Cherbourg,False
passenger67,0,3,8.1583,S,Third,,Southampton,True
passenger335,0,3,7.8958,S,Third,,Southampton,True
passenger138,0,3,9.2167,S,Third,,Southampton,True
passenger413,0,2,0.0,S,Second,,Southampton,True
passenger50,0,3,39.6875,S,Third,,Southampton,False
passenger200,0,3,9.5,S,Third,,Southampton,True
passenger854,0,2,26.0,S,Second,,Southampton,False
passenger218,1,1,76.2917,C,First,D,Cherbourg,True
passenger889,1,1,30.0,C,First,C,Cherbourg,True
passenger392,0,3,7.925,S,Third,,Southampton,False
passenger155,0,1,61.3792,C,First,,Cherbourg,False
passenger510,1,3,7.75,Q,Third,,Queenstown,True
passenger681,1,1,76.7292,C,First,D,Cherbourg,True
passenger402,0,3,9.825,S,Third,,Southampton,False
passenger528,0,3,7.925,S,Third,,Southampton,True
passenger359,1,3,7.8792,Q,Third,,Queenstown,True
passenger580,1,2,30.0,S,Second,,Southampton,False
passenger557,0,1,227.525,C,First,,Cherbourg,True
passenger701,1,1,26.2875,S,First,E,Southampton,True
passenger57,0,3,7.2292,C,Third,,Cherbourg,True
passenger523,1,1,57.9792,C,First,B,Cherbourg,False
passenger305,1,1,151.55,S,First,C,Southampton,False
passenger204,1,3,8.05,S,Third,,Southampton,True
passenger560,0,3,7.75,Q,Third,,Queenstown,True
passenger183,1,2,39.0,S,Second,F,Southampton,False
passenger22,1,3,8.0292,Q,Third,,Queenstown,True
passenger781,1,1,57.0,S,First,B,Southampton,False
passenger765,1,1,77.9583,S,First,D,Southampton,False
passenger771,0,3,7.8542,S,Third,,Southampton,True
passenger65,1,3,15.2458,C,Third,,Cherbourg,False
passenger516,1,2,10.5,S,Second,F,Southampton,True
passenger722,0,2,13.0,S,Second,,Southampton,True
passenger670,1,2,39.0,S,Second,,Southampton,False
passenger485,0,3,25.4667,S,Third,,Southampton,False
passenger635,1,2,13.0,S,Second,,Southampton,True
passenger455,1,3,7.8958,C,Third,,Cherbourg,True
passenger595,0,3,24.15,S,Third,,Southampton,False
passenger318,1,1,164.8667,S,First,C,Southampton,False
passenger737,1,1,512.3292,C,First,B,Cherbourg,True
passenger436,0,3,34.375,S,Third,,Southampton,False
passenger819,0,3,27.9,S,Third,,Southampton,False
passenger561,0,3,7.8958,S,Third,,Southampton,True
passenger618,1,2,39.0,S,Second,F,Southampton,False
passenger297,0,1,151.55,S,First,C,Southampton,False
passenger243,0,3,7.125,S,Third,,Southampton,True
passenger341,1,1,263.0,S,First,C,Southampton,False
passenger655,0,2,73.5,S,Second,,Southampton,False
passenger511,0,3,8.05,S,Third,,Southampton,True
passenger283,1,3,8.05,S,Third,,Southampton,True
passenger289,1,3,7.75,Q,Third,,Queenstown,True
passenger205,0,3,10.4625,S,Third,G,Southampton,False
passenger540,1,1,71.0,S,First,B,Southampton,False
passenger833,0,3,7.8542,S,Third,,Southampton,True
passenger275,1,1,77.9583,S,First,D,Southampton,False
passenger187,1,1,26.55,S,First,,Southampton,True
passenger801,1,2,26.25,S,Second,,Southampton,False
passenger486,1,1,90.0,S,First,C,Southampton,False
passenger222,0,3,8.05,S,Third,,Southampton,True
passenger475,0,1,52.0,S,First,A,Southampton,True
passenger118,0,1,247.5208,C,First,B,Cherbourg,False
passenger544,0,1,106.425,C,First,C,Cherbourg,False
passenger253,0,3,16.1,S,Third,,Southampton,False
passenger600,1,2,27.0,S,Second,,Southampton,False
passenger747,1,2,13.0,S,Second,,Southampton,True
passenger389,1,2,12.0,C,Second,,Cherbourg,True
passenger321,0,3,7.8958,S,Third,,Southampton,True
passenger349,0,3,8.6625,S,Third,,Southampton,True
passenger362,0,3,14.4542,C,Third,,Cherbourg,False
passenger440,1,2,26.25,S,Second,,Southampton,False
passenger147,0,3,34.375,S,Third,,Southampton,False
passenger879,1,1,83.1583,C,First,C,Cherbourg,False
passenger539,1,1,49.5,C,First,B,Cherbourg,False
passenger311,1,1,262.375,C,First,B,Cherbourg,False
passenger720,1,2,33.0,S,Second,,Southampton,False
passenger203,0,3,7.225,C,Third,,Cherbourg,True
passenger34,0,1,82.1708,C,First,,Cherbourg,False
passenger757,0,2,11.5,S,Second,,Southampton,True
passenger192,1,3,7.8542,S,Third,,Southampton,False
passenger521,0,3,7.8958,S,Third,,Southampton,True
passenger795,0,2,13.0,S,Second,,Southampton,True
passenger274,1,3,7.75,Q,Third,,Queenstown,True
passenger53,1,2,26.0,S,Second,,Southampton,False
passenger32,1,3,7.75,Q,Third,,Queenstown,True
passenger608,1,2,41.5792,C,Second,,Cherbourg,False
passenger679,1,1,512.3292,C,First,B,Cherbourg,False
passenger370,1,1,55.4417,C,First,E,Cherbourg,False
passenger586,0,2,15.0,S,Second,,Southampton,True
passenger770,0,3,9.5,S,Third,,Southampton,True
passenger804,1,3,6.975,S,Third,,Southampton,True
passenger548,0,3,20.525,S,Third,,Southampton,False
passenger805,0,3,7.775,S,Third,,Southampton,True
passenger789,0,1,79.2,C,First,B,Cherbourg,True
passenger300,1,3,7.75,Q,Third,,Queenstown,True
passenger598,0,3,7.225,C,Third,,Cherbourg,True
passenger764,0,3,7.775,S,Third,,Southampton,True
passenger129,0,3,6.975,S,Third,,Southampton,True
passenger365,0,3,7.25,S,Third,,Southampton,True
passenger75,0,3,7.65,S,Third,F,Southampton,True
passenger415,0,3,8.05,S,Third,,Southampton,True
passenger140,0,3,15.2458,C,Third,,Cherbourg,False
passenger207,1,3,18.7875,C,Third,,Cherbourg,True
passenger383,1,1,52.0,S,First,,Southampton,False
passenger158,0,3,8.6625,S,Third,,Southampton,True
passenger209,1,1,31.0,C,First,A,Cherbourg,True
passenger39,1,3,11.2417,C,Third,,Cherbourg,False
passenger35,0,1,52.0,S,First,,Southampton,False
passenger196,0,3,7.75,Q,Third,,Queenstown,True
passenger835,1,1,83.1583,C,First,E,Cherbourg,False
passenger513,1,1,59.4,C,First,,Cherbourg,False
passenger165,1,3,20.525,S,Third,,Southampton,False
passenger248,1,1,52.5542,S,First,D,Southampton,False
passenger395,0,3,7.7958,S,Third,,Southampton,True
passenger319,1,1,134.5,C,First,E,Cherbourg,False
passenger151,1,1,66.6,S,First,C,Southampton,False
passenger314,0,2,26.25,S,Second,,Southampton,False
passenger706,1,2,13.5,S,Second,,Southampton,True
passenger407,1,2,18.75,S,Second,,Southampton,False
passenger330,1,3,23.25,Q,Third,,Queenstown,False
passenger636,0,3,7.925,S,Third,,Southampton,True
passenger538,0,3,14.5,S,Third,,Southampton,True
passenger632,1,1,30.5,C,First,B,Cherbourg,True
passenger570,1,2,10.5,S,Second,,Southampton,True
passenger607,1,1,30.5,S,First,,Southampton,True
passenger748,0,1,53.1,S,First,D,Southampton,False
passenger182,0,3,31.3875,S,Third,,Southampton,False
passenger344,0,2,13.0,S,Second,,Southampton,True
passenger786,1,3,7.4958,S,Third,,Southampton,True
passenger58,1,2,27.75,S,Second,,Southampton,False
passenger741,0,1,78.85,S,First,C,Southampton,False
passenger181,0,2,15.05,C,Second,,Cherbourg,True
passenger646,0,3,7.8958,S,Third,,Southampton,True
passenger674,0,2,0.0,S,Second,,Southampton,True
passenger316,1,2,26.0,S,Second,,Southampton,False
passenger693,0,3,7.225,C,Third,,Cherbourg,True
passenger19,1,3,7.225,C,Third,,Cherbourg,True
passenger477,0,3,7.0458,S,Third,,Southampton,False
passenger502,0,3,7.6292,Q,Third,,Queenstown,True
passenger412,1,1,90.0,Q,First,C,Queenstown,False
passenger719,0,3,7.775,S,Third,,Southampton,True
passenger508,0,3,22.525,S,Third,,Southampton,True
passenger807,0,3,7.775,S,Third,,Southampton,True
passenger235,0,3,7.55,S,Third,,Southampton,True
passenger236,0,2,26.0,S,Second,,Southampton,False
passenger173,0,3,7.925,S,Third,,Southampton,True
passenger380,1,1,227.525,C,First,,Cherbourg,True
passenger117,0,2,21.0,S,Second,,Southampton,False
passenger462,0,1,38.5,S,First,E,Southampton,True
passenger287,0,3,7.8958,S,Third,,Southampton,True
passenger492,0,1,30.5,S,First,C,Southampton,True
passenger504,1,1,86.5,S,First,B,Southampton,True
passenger177,0,1,28.7125,C,First,C,Cherbourg,True
passenger597,0,3,0.0,S,Third,,Southampton,True
passenger729,0,3,7.925,S,Third,,Southampton,False
passenger740,1,1,30.0,S,First,D,Southampton,True
passenger651,1,2,23.0,S,Second,,Southampton,False
passenger653,1,3,7.8292,Q,Third,,Queenstown,True
passenger425,0,3,7.25,S,Third,,Southampton,True
passenger640,0,3,7.8542,S,Third,,Southampton,True
passenger136,1,1,26.2833,S,First,D,Southampton,False
passenger840,0,3,7.925,S,Third,,Southampton,True
passenger288,1,2,13.0,S,Second,,Southampton,True
passenger364,0,3,15.5,Q,Third,,Queenstown,False
passenger809,1,1,53.1,S,First,E,Southampton,False
passenger806,0,1,0.0,S,First,A,Southampton,True
passenger17,1,2,13.0,S,Second,,Southampton,True
passenger780,1,3,7.2292,C,Third,,Cherbourg,True
passenger376,1,3,7.25,S,Third,,Southampton,True
passenger858,1,3,19.2583,C,Third,,Cherbourg,False
passenger483,1,3,9.5875,S,Third,,Southampton,True
passenger769,0,3,8.3625,S,Third,,Southampton,True
passenger213,0,2,13.0,S,Second,,Southampton,True
passenger672,0,2,10.5,S,Second,,Southampton,True
passenger64,0,1,27.7208,C,First,,Cherbourg,True
passenger759,1,1,86.5,S,First,B,Southampton,True
passenger112,0,3,8.05,S,Third,,Southampton,True
passenger166,1,1,55.0,S,First,E,Southampton,False
passenger520,1,1,93.5,S,First,B,Southampton,True
passenger251,0,3,10.4625,S,Third,G,Southampton,False
passenger614,0,3,8.05,S,Third,,Southampton,True
passenger684,0,2,39.0,S,Second,,Southampton,False
passenger27,0,1,263.0,S,First,C,Southampton,False
passenger290,1,1,78.85,S,First,,Southampton,True
passenger505,0,1,108.9,C,First,C,Cherbourg,False
passenger408,0,3,7.775,S,Third,,Southampton,True
passenger44,1,3,7.8792,Q,Third,,Queenstown,True
passenger393,1,1,113.275,C,First,D,Cherbourg,False
passenger500,0,3,8.6625,S,Third,,Southampton,True
passenger342,0,2,13.0,S,Second,,Southampton,True
passenger603,0,3,8.05,S,Third,,Southampton,True
passenger197,0,3,8.4042,S,Third,,Southampton,False
passenger822,0,1,0.0,S,First,,Southampton,True
passenger713,0,3,9.4833,S,Third,,Southampton,True
passenger733,0,2,13.0,S,Second,,Southampton,True
passenger397,0,2,26.0,S,Second,,Southampton,True
passenger497,0,3,15.1,S,Third,,Southampton,True
passenger851,0,3,7.775,S,Third,,Southampton,True
passenger127,1,3,7.1417,S,Third,,Southampton,True
passenger92,0,1,61.175,S,First,E,Southampton,False
passenger861,0,2,11.5,S,Second,,Southampton,False
passenger84,1,2,10.5,S,Second,,Southampton,True
passenger73,0,3,14.4542,C,Third,,Cherbourg,False
passenger875,1,3,7.225,C,Third,,Cherbourg,True
passenger69,0,3,8.6625,S,Third,,Southampton,False
passenger553,1,3,7.225,C,Third,,Cherbourg,True
passenger631,0,3,7.0542,S,Third,,Southampton,True
passenger55,1,1,35.5,S,First,C,Southampton,True
passenger649,1,3,7.55,S,Third,,Southampton,True
passenger250,0,3,7.25,S,Third,,Southampton,True
passenger295,0,1,27.7208,C,First,,Cherbourg,True
passenger839,1,1,29.7,C,First,C,Cherbourg,True
passenger685,0,2,41.5792,C,Second,,Cherbourg,False
passenger665,0,2,73.5,S,Second,,Southampton,False
passenger273,0,1,29.7,C,First,C,Cherbourg,False
passenger627,1,1,77.9583,S,First,D,Southampton,True
passenger374,0,3,21.075,S,Third,,Southampton,False
passenger661,0,3,7.225,C,Third,,Cherbourg,True
passenger432,1,2,26.0,S,Second,,Southampton,False
passenger358,1,3,7.8792,Q,Third,,Queenstown,True
passenger15,1,2,16.0,S,Second,,Southampton,True
passenger280,0,3,7.75,Q,Third,,Queenstown,True
passenger107,1,3,7.775,S,Third,,Southampton,True
passenger524,0,3,7.2292,C,Third,,Cherbourg,True
passenger838,1,3,56.4958,S,Third,,Southampton,True
passenger447,1,1,26.55,S,First,,Southampton,True
passenger394,1,3,16.7,S,Third,G,Southampton,False
passenger247,1,2,14.5,S,Second,,Southampton,False
passenger379,0,3,7.775,S,Third,,Southampton,True
passenger564,0,3,8.05,S,Third,,Southampton,True
passenger860,0,3,14.1083,S,Third,,Southampton,False
passenger620,0,3,14.4542,C,Third,,Cherbourg,False
passenger178,0,2,13.0,S,Second,,Southampton,True
passenger867,0,1,50.4958,S,First,A,Southampton,True
passenger216,1,3,7.925,S,Third,,Southampton,True
passenger517,0,3,24.15,Q,Third,,Queenstown,True
passenger890,0,3,7.75,Q,Third,,Queenstown,True
passenger210,0,3,7.05,S,Third,,Southampton,True
passenger404,0,3,8.6625,S,Third,,Southampton,True
passenger285,0,3,8.6625,C,Third,,Cherbourg,True
passenger841,0,2,10.5,S,Second,,Southampton,True
passenger818,0,3,6.45,S,Third,,Southampton,True
passenger796,1,1,25.9292,S,First,D,Southampton,True
passenger745,0,1,71.0,S,First,B,Southampton,False
passenger785,0,3,7.25,S,Third,,Southampton,True
passenger613,0,3,7.75,Q,Third,,Queenstown,True
passenger694,0,1,26.55,S,First,,Southampton,True
passenger38,0,3,18.0,S,Third,,Southampton,False
passenger459,0,3,7.75,Q,Third,,Queenstown,True
passenger870,0,3,7.8958,S,Third,,Southampton,True
passenger644,1,3,19.2583,C,Third,,Cherbourg,False
passenger868,0,3,9.5,S,Third,,Southampton,True
passenger244,0,3,7.225,C,Third,,Cherbourg,True
passenger441,0,3,9.5,S,Third,,Southampton,True
passenger231,0,3,7.775,S,Third,,Southampton,True
passenger498,0,1,151.55,S,First,C,Southampton,False
passenger610,0,3,31.275,S,Third,,Southampton,False
passenger157,0,3,8.05,S,Third,,Southampton,True
passenger623,0,3,7.8542,S,Third,,Southampton,True
passenger100,0,3,7.8958,S,Third,,Southampton,True
passenger456,0,1,26.55,S,First,E,Southampton,True
passenger144,0,2,11.5,S,Second,,Southampton,True
passenger361,0,2,27.7208,C,Second,,Cherbourg,False
passenger594,0,2,26.0,S,Second,,Southampton,False
passenger406,0,3,7.75,S,Third,,Southampton,True
passenger581,1,1,110.8833,C,First,C,Cherbourg,False
passenger481,0,2,0.0,S,Second,,Southampton,True
passenger308,0,2,24.0,C,Second,,Cherbourg,False
passenger40,0,3,9.475,S,Third,,Southampton,False
passenger677,1,3,9.8417,S,Third,,Southampton,True
passenger245,0,1,90.0,Q,First,C,Queenstown,False
passenger484,1,1,91.0792,C,First,B,Cherbourg,False
passenger541,0,3,31.275,S,Third,,Southampton,False
passenger705,0,2,26.0,S,Second,,Southampton,True
passenger535,1,2,26.25,S,Second,,Southampton,False
passenger568,0,3,7.2292,C,Third,,Cherbourg,True
passenger537,1,1,106.425,C,First,,Cherbourg,True
passenger550,1,1,110.8833,C,First,C,Cherbourg,False
passenger725,0,3,8.6625,S,Third,,Southampton,True
passenger872,0,1,5.0,S,First,B,Southampton,True
passenger258,1,1,512.3292,C,First,,Cherbourg,True
passenger323,1,2,29.0,S,Second,,Southampton,False
passenger373,0,1,135.6333,C,First,,Cherbourg,True
passenger339,0,1,35.5,S,First,,Southampton,True
passenger828,1,3,7.75,Q,Third,,Queenstown,True
passenger293,0,3,8.85,S,Third,,Southampton,True
passenger652,0,3,8.4333,S,Third,,Southampton,True
passenger343,0,2,13.0,S,Second,,Southampton,True
passenger621,1,1,52.5542,S,First,D,Southampton,False
passenger562,0,2,13.5,S,Second,,Southampton,True
passenger149,0,2,13.0,S,Second,,Southampton,True
passenger650,0,3,7.8958,S,Third,,Southampton,True
passenger211,1,2,21.0,S,Second,,Southampton,True
passenger242,0,2,10.5,S,Second,,Southampton,True
passenger24,0,3,21.075,S,Third,,Southampton,False
passenger599,1,1,56.9292,C,First,A,Cherbourg,False
passenger612,1,3,15.5,Q,Third,,Queenstown,False
passenger624,0,3,16.1,S,Third,,Southampton,True
passenger526,1,2,10.5,S,Second,,Southampton,True
passenger66,1,2,10.5,S,Second,F,Southampton,True
passenger131,0,3,7.05,S,Third,,Southampton,True
passenger717,1,2,10.5,S,Second,E,Southampton,True
passenger377,0,1,211.5,C,First,C,Cherbourg,False
passenger78,1,2,29.0,S,Second,,Southampton,False
passenger474,0,3,9.8375,S,Third,,Southampton,True
passenger715,0,3,7.65,S,Third,F,Southampton,True
passenger312,0,2,26.0,S,Second,,Southampton,False
passenger709,1,3,15.2458,C,Third,,Cherbourg,False
passenger56,1,2,10.5,S,Second,,Southampton,True
passenger427,1,2,26.0,S,Second,,Southampton,True
passenger322,1,2,12.35,Q,Second,,Queenstown,True
passenger878,0,3,7.8958,S,Third,,Southampton,True
passenger490,0,3,19.9667,S,Third,,Southampton,False
passenger668,0,3,8.05,S,Third,,Southampton,True
passenger310,1,1,83.1583,C,First,C,Cherbourg,True
passenger509,1,3,56.4958,S,Third,,Southampton,True
passenger767,0,3,7.75,Q,Third,,Queenstown,True
passenger712,1,1,52.0,S,First,C,Southampton,False
passenger113,0,3,9.825,S,Third,,Southampton,False
passenger760,0,3,14.5,S,Third,,Southampton,True
passenger445,1,1,81.8583,S,First,A,Southampton,False
passenger663,0,3,7.4958,S,Third,,Southampton,True
passenger834,0,3,8.3,S,Third,,Southampton,True
passenger682,0,3,9.225,S,Third,,Southampton,True
passenger676,0,3,8.05,S,Third,,Southampton,True
passenger150,0,2,12.525,S,Second,,Southampton,True
passenger751,1,3,12.475,S,Third,E,Southampton,False
passenger420,0,3,7.8958,C,Third,,Cherbourg,True
passenger667,0,3,7.775,S,Third,,Southampton,True
passenger230,1,1,83.475,S,First,C,Southampton,False
passenger830,1,3,14.4542,C,Third,,Cherbourg,False
passenger451,0,3,19.9667,S,Third,,Southampton,False
passenger533,1,3,22.3583,C,Third,,Cherbourg,False
passenger743,0,3,16.1,S,Third,,Southampton,False
passenger262,0,1,79.65,S,First,E,Southampton,False
passenger190,1,2,13.0,S,Second,,Southampton,True
passenger128,1,3,22.3583,C,Third,F,Cherbourg,False
passenger744,1,3,7.925,S,Third,,Southampton,True
passenger446,1,2,19.5,S,Second,,Southampton,False
passenger41,0,2,21.0,S,Second,,Southampton,False
passenger80,0,3,9.0,S,Third,,Southampton,True
passenger736,0,3,34.375,S,Third,,Southampton,False
passenger617,0,3,16.1,S,Third,,Southampton,False
passenger148,0,2,26.0,S,Second,F,Southampton,False
passenger454,0,3,8.05,S,Third,,Southampton,True
passenger883,0,2,10.5,S,Second,,Southampton,True
passenger175,0,3,7.8542,S,Third,,Southampton,False
passenger72,0,2,73.5,S,Second,,Southampton,True
passenger176,0,3,25.4667,S,Third,,Southampton,False
passenger63,0,3,27.9,S,Third,,Southampton,False
passenger329,1,1,57.9792,C,First,B,Cherbourg,False
passenger489,1,3,15.9,S,Third,,Southampton,False
passenger692,1,3,56.4958,S,Third,,Southampton,True
passenger386,0,3,46.9,S,Third,,Southampton,False
passenger180,0,3,69.55,S,Third,,Southampton,False
passenger625,0,1,32.3208,S,First,D,Southampton,True
passenger353,0,3,17.8,S,Third,,Southampton,False
passenger471,0,3,8.6625,S,Third,,Southampton,True
passenger8,1,3,11.1333,S,Third,,Southampton,False
passenger671,0,1,52.0,S,First,B,Southampton,False
passenger824,0,3,39.6875,S,Third,,Southampton,False
passenger267,1,3,7.775,S,Third,,Southampton,False
passenger697,1,3,7.7333,Q,Third,,Queenstown,True
passenger876,0,3,9.8458,S,Third,,Southampton,True
passenger482,0,3,8.05,S,Third,,Southampton,True
passenger354,0,3,7.225,C,Third,,Cherbourg,True
passenger189,0,3,7.8958,S,Third,,Southampton,True
passenger304,0,3,8.05,S,Third,,Southampton,True
passenger567,0,3,21.075,S,Third,,Southampton,False
passenger592,0,3,7.25,S,Third,,Southampton,True
passenger476,0,2,21.0,S,Second,,Southampton,False
passenger784,0,3,7.05,S,Third,,Southampton,True
